;;Acuan Pencarian;;ditampilkan;;;;;;;;;;;;;;;
Supplier;Name;Order;Supplier;Internal Reference;Item Number;Description;Description2;Quantity Ordered;Unit of Measure; PO Cost ;Currency;Taxable;Tax Class;Tax Rate;Receipt Date;External Reference;Transaction Date;Receipt Quantity;Receipt_Price
SCJP0003;BENGKEL RIDHO;LK251565;SCJP0003;RC230334;RC151;GUIDE CLMP COMP BRK HOSE;43150-K1ZN-N401;70.000,00;PC;349;IDR;No;PPN;12,00%;03/07/2025;250701 D;03/07/2025;6.000,00;2.095.200,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230335;RC151;GUIDE CLMP COMP BRK HOSE;43150-K1ZN-N401;80.000,00;PC;349;IDR;No;PPN;12,00%;03/07/2025;250701 D;03/07/2025;1.500,00;523.800,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230336;RC132;KAWAT GUIDE; CLAMPER A BRAKE HOSE;150.000,00;PC;294;IDR;No;PPN;12,00%;03/07/2025;250701 C;03/07/2025;18.250,00;5.365.500,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230338;RC147-O;BUSH, M STAND;11205-K0J -N000-H1;331.000,00;PC;97;IDR;No;PPN;12,00%;03/07/2025;250701 F;03/07/2025;28.000,00;2.716.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC230337;AHM-FC193-1-O;PIPA COLLAR HORN SET;#0,8�0,08 X 52�0,5 X1219;18.000,00;PC;36;IDR;No;PPN;12,00%;03/07/2025;250701 E;03/07/2025;4.000,00;144.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC230337;TRD-FC158-1-O;COLLAR, WASHER;3G81-150-7750;13.500,00;PC;27;IDR;No;PPN;12,00%;03/07/2025;250701 E;03/07/2025;5.000,00;135.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC230337;TRD-FC158-2-O;COLLAR, PIPA;3G81-150-7750;12.000,00;PC;35;IDR;No;PPN;12,00%;03/07/2025;250701 E;03/07/2025;5.000,00;175.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230340;KYB-FS046-O;STOPPER;12201-01809-;143.000,00;PC;17;IDR;No;PPN;12,00%;03/07/2025;250701 B;03/07/2025;12.000,00;204.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230341;AHM-FS018-LO;SHAFT REDUCTION GEAR;28132-KGH-9100;6.000,00;PC;48;IDR;No;PPN;12,00%;03/07/2025;250701 G;03/07/2025;6.000,00;285.120,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230344;AHM-FS018-LO;SHAFT REDUCTION GEAR;28132-KGH-9100;6.000,10;PC;48;IDR;No;PPN;12,00%;03/07/2025;250701 G;03/07/2025;-6.000,00;-285.120,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230342;TYT-FH027-LO;HOL,CAB MOU CUSHION NO.1;52218-0K010;15.000,00;PC;124;IDR;No;PPN;12,00%;03/07/2025;250701 H;03/07/2025;700;86.688,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230342;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;03/07/2025;250701 H;03/07/2025;900;111.456,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230343;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;03/07/2025;250701 A;03/07/2025;6.000,00;1.128.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230343;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;63.000,00;PC;89;IDR;No;PPN;12,00%;03/07/2025;250701 A;03/07/2025;3.000,00;267.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230345;AHM-FS018-LO;SHAFT REDUCTION GEAR;28132-KGH-9100;6.000,10;PC;48;IDR;No;PPN;12,00%;03/07/2025;250701 G;03/07/2025;1.200,00;57.024,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230486;RC147-O;BUSH, M STAND;11205-K0J -N000-H1;331.000,00;PC;97;IDR;No;PPN;12,00%;07/07/2025;250702 E;07/07/2025;28.000,00;2.716.000,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230487;RC132;KAWAT GUIDE; CLAMPER A BRAKE HOSE;150.000,00;PC;294;IDR;No;PPN;12,00%;07/07/2025;250702 C;07/07/2025;17.500,00;5.145.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC230489;TRD-FC158-1-O;COLLAR, WASHER;3G81-150-7750;13.500,00;PC;27;IDR;No;PPN;12,00%;07/07/2025;250702 D;07/07/2025;5.000,00;135.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC230489;TRD-FC158-2-O;COLLAR, PIPA;3G81-150-7750;12.000,00;PC;35;IDR;No;PPN;12,00%;07/07/2025;250702 D;07/07/2025;5.000,00;175.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230684;AHM-FC188-LO;COLLAR START REDUCTION;28133-KRM -8501;15.000,00;PC;55;IDR;No;PPN;12,00%;08/07/2025;250702 G;08/07/2025;2.000,00;109.820,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230684;TYT-FH027-LO;HOL,CAB MOU CUSHION NO.1;52218-0K010;15.000,00;PC;124;IDR;No;PPN;12,00%;08/07/2025;250702 G;08/07/2025;1.400,00;173.376,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230684;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;08/07/2025;250702 G;08/07/2025;100;12.384,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230684;TYT-FH040-LO;HOL,CAB MOU CUSHION NO.2;52219-KK010;12.000,00;PC;124;IDR;No;PPN;12,00%;08/07/2025;250702 G;08/07/2025;1.300,00;160.992,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230685;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;08/07/2025;250702 G;08/07/2025;1.800,00;222.912,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230686;KYB-FS046-O;STOPPER;12201-01809-;143.000,00;PC;17;IDR;No;PPN;12,00%;08/07/2025;250702 B;08/07/2025;13.000,00;221.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230687;AHM-FD017-LO;PIN DOWEL 6 X 10;94302-06100;28.000,00;PC;63;IDR;No;PPN;12,00%;08/07/2025;250702 F;08/07/2025;4.000,00;253.440,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230688;AHM-FS006-LO;SHAFT GEAR SHIFT FORK;24241-KPH-9002;6.000,00;PC;63;IDR;No;PPN;12,00%;08/07/2025;250702 F;08/07/2025;1.000,00;63.360,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230688;NKI-FB082-O;BUSH;33546-BZ010;4.000,00;PC;66;IDR;No;PPN;12,00%;08/07/2025;250702 F;08/07/2025;1.000,00;66.080,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230689;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;08/07/2025;250702 A;08/07/2025;7.000,00;1.316.000,00
